city_id,code_national,city
5,15201,"Putre, Arica y Parinacota"
4,15102,"Camarones, Arica y Parinacota"
6,15202,"General Lagos, Arica y Parinacota"
3,15101,"Arica, Arica y Parinacota"
12,1403,"Colchane, Tarapacá"
14,1401,"Pozo Almonte, Tarapacá"
404,1107,"Alto Hospicio, Tarapacá"
10,1404,"Huara, Tarapacá"
13,1405,"Pica, Tarapacá"
11,1402,"Camiña, Tarapacá"
9,1101,"Iquique, Tarapacá"
17,2301,"Tocopilla, Antofagasta"
25,2103,"Sierra Gorda, Antofagasta"
24,2102,"Mejillones, Antofagasta"
23,2101,"Antofagasta, Antofagasta"
26,2104,"Taltal, Antofagasta"
18,2302,"María Elena, Antofagasta"
20,2201,"Calama, Antofagasta"
21,2202,"Ollagüe, Antofagasta"
22,2203,"San Pedro De Atacama, Antofagasta"
31,3101,"Copiapó, Atacama"
30,3202,"Diego De Almagro, Atacama"
29,3201,"Chañaral, Atacama"
32,3102,"Caldera, Atacama"
33,3103,"Tierra Amarilla, Atacama"
38,3302,"Alto Del Carmen, Atacama"
36,3303,"Freirina, Atacama"
35,3301,"Vallenar, Atacama"
37,3304,"Huasco, Atacama"
45,4106,"Vicuña, Coquimbo"
44,4103,"Andacollo, Coquimbo"
43,4102,"Coquimbo, Coquimbo"
46,4105,"Paiguano, Coquimbo"
41,4101,"La Serena, Coquimbo"
42,4104,"La Higuera, Coquimbo"
49,4305,"Río Hurtado, Coquimbo"
51,4302,"Combarbalá, Coquimbo"
52,4304,"Punitaqui, Coquimbo"
50,4303,"Monte Patria, Coquimbo"
48,4301,"Ovalle, Coquimbo"
54,4201,"Illapel, Coquimbo"
56,4203,"Los Vilos, Coquimbo"
57,4202,"Canela, Coquimbo"
55,4204,"Salamanca, Coquimbo"
81,5802,"Limache, Valparaíso"
63,5405,"Zapallar, Valparaíso"
64,5403,"Papudo, Valparaíso"
78,5504,"La Cruz, Valparaíso"
84,5803,"Olmué, Valparaíso"
61,5404,"Petorca, Valparaíso"
77,5501,"Quillota, Valparaíso"
62,5402,"Cabildo, Valparaíso"
72,5502,"Calera, Valparaíso"
80,5503,"Hijuelas, Valparaíso"
60,5401,"La Ligua, Valparaíso"
79,5506,"Nogales, Valparaíso"
71,5705,"Putaendo, Valparaíso"
73,5706,"Santa María, Valparaíso"
74,5704,"Panquehue, Valparaíso"
76,5702,"Catemu, Valparaíso"
67,5701,"San Felipe, Valparaíso"
70,5303,"Rinconada, Valparaíso"
66,5301,"Los Andes, Valparaíso"
69,5302,"Calle Larga, Valparaíso"
75,5703,"Llaillay, Valparaíso"
68,5304,"San Esteban, Valparaíso"
88,5107,"Quintero, Valparaíso"
85,5101,"Valparaíso, Valparaíso"
86,5109,"Viña Del Mar, Valparaíso"
91,5102,"Casablanca, Valparaíso"
92,5104,"Juan Fernández, Valparaíso"
100,5201,"Isla De Pascua, Valparaíso"
89,5105,"Puchuncaví, Valparaíso"
87,5801,"Quilpué, Valparaíso"
83,5103,"Concón, Valparaíso"
90,5804,"Villa Alemana, Valparaíso"
96,5605,"El Tabo, Valparaíso"
98,5602,"Algarrobo, Valparaíso"
99,5606,"Santo Domingo, Valparaíso"
97,5604,"El Quisco, Valparaíso"
95,5603,"Cartagena, Valparaíso"
94,5601,"San Antonio, Valparaíso"
117,6103,"Coinco, O'Higgins"
109,6116,"Requínoa, O'Higgins"
103,6101,"Rancagua, O'Higgins"
110,6115,"Rengo, O'Higgins"
104,6106,"Graneros, O'Higgins"
113,6117,"San Vicente, O'Higgins"
119,6107,"Las Cabras, O'Higgins"
115,6112,"Peumo, O'Higgins"
114,6113,"Pichidegua, O'Higgins"
118,6105,"Doñihue, O'Higgins"
107,6108,"Machalí, O'Higgins"
106,6102,"Codegua, O'Higgins"
111,6109,"Malloa, O'Higgins"
116,6104,"Coltauco, O'Higgins"
105,6110,"Mostazal, O'Higgins"
112,6114,"Quinta De Tilcoco, O'Higgins"
108,6111,"Olivar, O'Higgins"
128,6309,"Pumanque, O'Higgins"
121,6301,"San Fernando, O'Higgins"
123,6308,"Placilla, O'Higgins"
129,6306,"Palmilla, O'Higgins"
124,6305,"Nancagua, O'Higgins"
126,6310,"Santa Cruz, O'Higgins"
127,6304,"Lolol, O'Higgins"
130,6307,"Peralillo, O'Higgins"
122,6303,"Chimbarongo, O'Higgins"
125,6302,"Chépica, O'Higgins"
133,6206,"Paredones, O'Higgins"
135,6203,"Litueche, O'Higgins"
134,6205,"Navidad, O'Higgins"
132,6201,"Pichilemu, O'Higgins"
137,6204,"Marchihue, O'Higgins"
136,6202,"La Estrella, O'Higgins"
144,7307,"Sagrada Familia, Maule"
140,7301,"Curicó, Maule"
147,7303,"Licantén, Maule"
141,7308,"Teno, Maule"
142,7306,"Romeral, Maule"
148,7305,"Rauco, Maule"
145,7309,"Vichuquen, Maule"
143,7304,"Molina, Maule"
146,7302,"Hualañé, Maule"
159,7103,"Curepto, Maule"
156,7104,"Empedrado, Maule"
158,7102,"Constitución, Maule"
