institution_code,institution_name
320,Liceo Artistico De Antofagasta 'Armando Carrera Gonzalez'
9867,Centro De Educ. Tecn.Profesional Codeduc
109,Colegio Deportivo Tec. Prof. Elena Duvauchelle Cabezon
16730,Liceo Bicentenario De Administración y Comercio HC
20585,Escuela Especial Nº 2487  'Omilen  Antu'
37229,Jardin Pablo De Rokha
2266,Escuela Campo Lindo El Abra
25797,Escuela Básica Pucara Lasana
973,Escuela Villa Los Naranjos
13512,Colegio Joaquin Vicuña Larrain
20494,Centro De Educación Integral De Adultos 'Renacer'
10376,Escuela Básica Nº 1090 Unión Latinoamericana
9799,Complejo Educ. Part. Monseñor Luis A. Perez
2116,Colegio Municipal Eduardo De Geyter
2122,Escuela Municipal El Cobre
2111,Liceo Municipal Jose Victorino Lastarria
15768,Colegio Santa Filomena
15769,Liceo Técnico Santa Cruz De Triana
2136,Escuela Municipal Isabel Riquelme
2138,Escuela Municipal Alberto Blest Gana
2125,Colegio Pablo Garrido
2118,Colegio España
2120,Escuela Municipal Mineral El Teniente
2139,Escuela Municipal Virginia Bravo
2134,Liceo Comercial Jorge Alessandri R.
2133,Col. Especial Dr. Ricardo Olea Guldemont
2129,Colegio Aurora De Chile
15503,Escuela Duende Melodia
2126,Col. Jose A. Manso De Velasco Y S.
2119,Escuela Municipal Manuel Rodriguez
2123,Instituto Tecnologico Minero Bernardo Ohiggins
2114,Escuela Municipal Marcela Paz
2124,Liceo Integrado Libertador Simón Bolivar
2110,Liceo Municipal Oscar Castro Zuniga
2109,Liceo De Niñas De Rancagua
2112,Escuela Municipal Moises Mussa
2140,Escuela Municipal Augusto D Halmar
2115,Escuela Municipal Rene Schneider Chereau
9293,Liceo Polivalente Los Almendros
9736,Escuela Basica Bernardo O'higgins
536,Colegio Deportivo Olimpico
10210,Escuela General Alejandro Gorostiaga Orrego
2121,Colegio República Argentina
5535,Escuela Particular Los Derrames
8546,Escuela Básica Bilingue República Del Paraguay
12932,Esc. Parv. Minnie's Kids
12509,Liceo Pdte. Anibal Pinto Garmendia
25017,Esc. Bas. Patr. Willis Hoover Kurt
26068,Colegio Licarito
25526,Escuela Part. Curacavi College
20329,Escuela Basica N° 2464 'Colegio Básico Integrado Padre Pio'
15775,Liceo Técnico Profesional Santa Rosa
16879,Escuela Básica N°2442 'Centro Educacional Ernesto Yañez Rivera'
1030,Escuela Básica Guillermo Barrios Vargas
16740,Colegio María Diza Pino Vargas
24643,Colegio Aleman de Santiago
2790,Colegio Vichuquen
2794,Liceo Teno
1164,Colegio Católico Presidente Manuel Montt
