id,latitud,longitud,address_street,plocation_id,coordinates,campus_code,institution_code,imputed
13674,,,"",183,POINT (0 0),3471400001,34714,false
5501,-33.41606903076172,-70.53495788574219,Camino El Alba 9280,364,POINT (-70.53495788574219 -33.41606903076172),881500002,8815,false
5587,-33.413596,-70.51216,Avenida Francisco Bulnes Correa 3000,364,POINT (-70.51216 -33.413596),899100001,8991,false
18216,-33.50262638368147,-71.50206406243097,Camino Publico Quillaycillo,96,POINT (-71.50206406243097 -33.50262638368147),207600001,2076,false
5647,-33.472985,-70.538414,Calle Del Jardin 1565,373,POINT (-70.538414 -33.472985),909800001,9098,false
18249,-36.37861,-71.9986,Quinquehua S/N,178,POINT (-71.9996 -36.37961),376600002,3766,false
18283,-40.89531,-73.186075,"",293,POINT (-73.186075 -40.89531),2041000002,20410,false
18284,-33.4499918,-70.6373461,"",345,POINT (-70.6373461 -33.4499918),852300002,8523,false
18285,-33.444,-70.6755,"",345,POINT (-70.6755 -33.444),856100002,8561,false
18282,-20.27180464,-70.0997894,"",404,POINT (-70.0997894 -20.27180464),1272800002,12728,false
2510,-36.35872,-71.93378,"San Carlos, Ñuble, Chile",178,POINT (-71.93378 -36.35872),375400001,3754,false
7692,-33.051821,-71.40006256,Madrid 449,87,POINT (-71.40006256103516 -33.05139923095703),1423300002,14233,false
5718,-33.45922242,-70.57814658,Dublé Almeyda 4950,363,POINT (-70.57814658 -33.45922242),924600001,9246,false
5815,-33.50525362,-70.67470241,Boroa 6079,375,POINT (-70.67470241 -33.50525362),945800001,9458,false
11769,-29.88622,-71.2383,Alejandro Flores 3150,41,POINT (-71.2383 -29.88622),3121900001,31219,false
11770,-29.9274,-71.21202087,Avenida Las Parcelas 314,41,POINT (-71.21202087402344 -29.92740058898926),3121900002,31219,false
16277,-33.04599,-71.39834,Avda.valparaiso 2880,90,POINT (-71.39834 -33.04599),4025100001,40251,false
16278,-33.04541,-71.3986969,San Marino 1069,90,POINT (-71.39869689941406 -33.04541015625),4025100003,40251,false
16311,-33.60804,-71.61571,"Los Cerezos  3081  Barrancas, San Antonio. S/n",94,POINT (-71.61571 -33.60804),4029100001,40291,false
16312,-33.5863495,-71.61204529,Avenida 21 De Mayo 694,94,POINT (-71.61204528808594 -33.58634948730469),4029100002,40291,false
16318,-33.04382,-71.36266,Avenida Baquedano Peñablanca 1075,90,POINT (-71.36266 -33.04382),4029900001,40299,false
16319,-33.04362,-71.36125946,Baquedano 947,90,POINT (-71.36125946044922 -33.04362106323242),4029900002,40299,false
16336,-20.22066,-70.14631,Orella 941 941,9,POINT (-70.14631 -20.22066),4032000001,40320,false
16337,-20.21802,-70.14874268,Colegio Academia Tarapaca 1062,9,POINT (-70.14874267578125 -20.21801948547363),4032000002,40320,false
10778,-33.3645372320914,-70.50271411231476,Monseñor Escrivá De Balaguer Norte 14069,366,POINT (-70.50271411231476 -33.3645372320914),2539500002,25395,false
12702,-33.5759986,-71.6118719,Camilo Henríquez 230,94,POINT (-71.6118719 -33.5759986),3360600001,33606,false
13659,-36.4781301,-71.7028036,"N-301, San Carlos, Ñuble, Chile",178,POINT (-71.7028036 -36.4781301),3469800001,34698,false
7527,-29.92337,-71.24667,"Avenida Juan Cisternas 2275, La Serena",41,POINT (-71.24667 -29.92337),1338800001,13388,false
7638,-29.88575,-71.2306,La Cruz 1794 Villa El Parque Cia. Alta La Serena 1794,41,POINT (-71.2306 -29.88575),1357600001,13576,false
7691,-33.051402,-71.400021,Madrid 350,87,POINT (-71.400021 -33.051402),1423300001,14233,false
9193,-38.518341,-72.89107,"Sector Piuchen Alto, Camino Chol Chol Huamqui, Km! S/N",268,POINT (-72.89107 -38.518341),1991000001,19910,false
9308,-38.741012,-72.71395,G.Mackenna 080 (Entrega Corespondencia) S/N,248,POINT (-72.71395 -38.741012),2012200001,20122,false
9331,-38.2243,-72.32435,San Martin 115 - Bajo Traiguén 115,241,POINT (-72.32435 -38.2243),2016200001,20162,false
143,-22.345196,-69.666848,Temuco S/N,18,POINT (-69.666848 -22.345196),21000001,210,false
10086,-42.015058,-73.692197,Sector Rural Colonia Degañ S/N,305,POINT (-73.692197 -42.015058),2255600001,22556,false
10367,-33.501712,-70.7568276,Avenida Los Pajaritos 2803,352,POINT (-70.7568276 -33.501712),2462600001,24626,false
10569,-33.56407,-70.5536,Camino Vecinal 6180,389,POINT (-70.5536 -33.56407),2507100001,25071,false
10601,-33.477778,-70.735703,Alto Volta 510,352,POINT (-70.735703 -33.477778),2512900001,25129,false
10926,-33.35868,-70.73988,Lo Marcoleta 150,355,POINT (-70.73988 -33.35868),2559900001,25599,false
18157,-34.474223,-71.480087,"",130,POINT (-71.480087 -34.474223),262500002,2625,false
1865,-35.09006179,-71.1316319,Los Niches Las Piedras S/N,140,POINT (-71.1316319 -35.09006179),276300001,2763,false
1871,-35.09594,-71.08082,Chequenlemu C/N S/N,140,POINT (-71.08082 -35.09594),277100001,2771,false
2114,-35.59116,-72.27697,"Gral. Bueras 125, Empedrado, Maule, Chile",156,POINT (-72.27697 -35.59116),312800002,3128,false
2451,-36.613754,-72.088997,Ampliacion Puren Pasaje 11 Oriente 44,175,POINT (-72.088997 -36.613754),366000001,3660,false
258,-25.407547,-70.481778,Riquelme 837,26,POINT (-70.481778 -25.407547),37400001,374,false
2604,-36.916373,-71.803118,Camino Las Mulas Km. 25 S/N,184,POINT (-71.803118 -36.916373),391600001,3916,false
3034,-36.84317,-73.141118,Nueva Uno 560,214,POINT (-73.141118 -36.84317),461600001,4616,false
3035,-36.84121,-73.14466,"Rene Schneider, Michaihue 278",214,POINT (-73.14466 -36.84121),461600002,4616,false
3059,-36.83233,-73.11419,Las Violetas 1975 Huertos Familiares 1975,214,POINT (-73.11419 -36.83233),465600001,4656,false
3064,-36.82183,-73.06013,Cruz 250,213,POINT (-73.06013 -36.82183),466300001,4663,false
3072,-36.8061,-73.04563,Juan De Dios Rivera 1821,213,POINT (-73.04563 -36.8061),467200001,4672,false
3165,-36.613917,-72.956527,Sargento Aldea 1050,219,POINT (-72.956527 -36.613917),482500001,4825,false
3172,-36.54826,-72.93538,"Av. Daniel Vera 755, Dichato, Tomé, Bío Bío, Chile",219,POINT (-72.93538 -36.54826),483400002,4834,false
3184,-36.63712,-72.848,"Tomé, Bio Bio, Chile",219,POINT (-72.848 -36.63712),484800001,4848,false
3420,-37.953175,-73.405101,"Cañete, Bio Bio, Chile",230,POINT (-73.405101 -37.953175),515700001,5157,false
3713,-38.824188,-72.739829,Km.26 Maquehue S/N,250,POINT (-72.739829 -38.824188),564800001,5648,false
3727,-38.7588032114228,-72.5888184791,Pasaje Moser 56,250,POINT (-72.5888184791 -38.7588032114228),566300001,5663,false
3729,-38.732578,-72.622179,Avenida Andes 620,248,POINT (-72.622179 -38.732578),566600001,5666,false
3832,-38.61738,-72.49752,"Pumalal,4 Kilómetros Al Oeste Frente Acceso Sur Pillanlelbún. S/N",252,POINT (-72.49752 -38.61738),584900001,5849,false
4304,-38.552466,-72.711894,Camino Quinahue S/N,245,POINT (-72.711894 -38.552466),673600001,6736,false
4532,-40.299389,-73.074361,Manuel Ossa 329,285,POINT (-73.074361 -40.299389),718300001,7183,false
4559,-40.5550952,-72.7733574,Carimallin S/N,286,POINT (-72.7733574 -40.5550952),724300001,7243,false
4614,-40.5828028515524,-73.1589938767038,Juan De Dios Hernandez S/N,288,POINT (-73.1589938767038 -40.5828028515524),733700001,7337,false
4629,-40.54539746,-73.01600891,"Pelleco, Camino Remehue - Mulpulmo, Km 16 S/N",288,POINT (-73.01600891 -40.54539746),735600001,7356,false
4725,-40.8291605716301,-73.2927638861241,Los Castaños S/N,294,POINT (-73.2927638861241 -40.8291605716301),755900001,7559,false
5913,-33.55451,-70.62866,Sofia Eastman De Hunneus 10279,376,POINT (-70.62866 -33.55451),963700001,9637,false
4798,-41.528883,-73.122583,Escuela Trapen S/N,274,POINT (-73.122583 -41.528883),767500001,7675,false
4840,-41.348187,-72.787604,Colonia La Poza S/N,274,POINT (-72.787604 -41.348187),773200001,7732,false
4897,-41.875052,-73.167259,"Isla Mayelhue,Sector Tabon S/N",297,POINT (-73.167259 -41.875052),781100001,7811,false
4934,-41.51372,-73.51572,Huautrunes S/N,299,POINT (-73.51572 -41.51372),788100001,7881,false
4991,-41.12708,-73.05724,Carlos Richter 290,302,POINT (-73.05724 -41.12708),798900001,7989,false
5098,-42.425637,-73.534322,"Sector Los Palquis, Comuna De Curaco De Vélez S/N",308,POINT (-73.534322 -42.425637),816600001,8166,false
5235,-43.704925,-72.138877,"El Tranquilo, Palena S/N",318,POINT (-72.138877 -43.704925),834400001,8344,false
